ID,target,Usage
0,0,public
1,0,private
2,1,public
3,1,private
4,1,private
5,1,private
6,0,private
7,0,private
8,0,public
9,1,public
10,0,public
11,1,private
12,0,private
13,1,private
14,0,private
15,0,private
16,0,public
17,0,private
18,0,public
19,0,public
20,1,public
21,1,public
22,0,private
23,0,private
24,0,public
25,1,public
26,1,public
27,1,private
28,0,private
29,1,public
30,0,private
31,0,private
32,0,public
33,0,private
34,0,private
35,1,private
36,0,public
37,1,private
38,1,private
39,0,private
40,0,public
41,1,public
42,1,private
43,0,public
44,0,private
45,0,public
46,1,private
47,0,public
48,1,public
49,0,private
50,0,private
51,0,public
52,0,private
53,1,public
54,0,private
55,0,private
56,1,private
57,0,public
58,0,private
59,0,public
60,0,public
61,0,private
62,0,public
63,1,private
64,0,private
65,0,public
66,0,private
67,0,private
68,0,public
69,0,private
70,1,private
71,0,private
72,0,public
73,0,private
74,1,private
75,1,private
76,0,public
77,1,private
78,0,private
79,0,private
80,0,private
81,0,public
82,0,public
83,0,public
84,0,private
85,0,public
86,0,private
87,0,public
88,0,private
89,1,private
90,1,private
91,0,public
92,0,public
93,0,public
94,1,public
95,0,private
96,1,public
97,0,private
98,1,private
99,1,private
100,0,private
101,1,private
102,0,public
103,0,private
104,0,private
105,1,private
106,0,private
107,0,private
108,0,public
109,1,public
110,0,private
111,0,private
112,0,public
113,1,public
114,0,public
115,0,public
116,0,private
117,0,private
118,0,private
119,1,private
120,1,private
121,1,private
122,1,public
123,1,public
124,1,public
125,0,private
126,0,public
127,0,private
128,0,private
129,0,public
130,0,public
131,0,private
132,1,private
133,0,public
134,1,public
135,0,private
136,0,private
137,0,private
138,1,public
139,1,private
140,1,public
141,0,public
142,0,private
143,1,public
144,0,private
145,0,public
146,0,private
147,1,private
148,0,public
149,1,private
150,1,private
151,1,public
152,0,private
153,1,private
154,1,public
155,0,public
156,1,private
157,0,public
158,0,public
159,0,public
160,0,private
161,1,public
162,0,private
163,0,public
164,0,private
165,1,private
166,0,public
167,0,private
168,0,public
169,0,private
170,1,private
171,0,public
172,0,public
173,0,private
174,0,public
175,0,public
176,0,private
177,1,private
178,1,public
179,1,private
180,0,private
181,0,public
182,1,private
183,0,public
184,1,private
185,0,private
186,1,private
187,1,public
188,1,private
189,1,private
190,0,private
191,0,public
192,1,public
193,0,public
194,0,public
195,0,private
196,1,public
197,1,public
198,0,private
199,1,public
200,1,public
201,0,public
202,0,public
203,1,private
204,1,private
205,0,private
206,0,public
207,0,private
208,0,public
209,1,private
210,0,public
211,1,public
212,1,private
213,1,private
214,0,public
215,0,private
216,0,public
